n, N, Read, PC, PCSA, HLL, KMV, MC, RC
1000, 2000, 2.7833e-05, 3.5401e-05, 3.5265e-05, 3.5424e-05, 0.00073162, 5.2861e-05, 0.000251721
1000, 2000, 2.8037e-05, 3.6352e-05, 3.6511e-05, 3.7182e-05, 0.00077663, 5.4465e-05, 0.000274796
1000, 2000, 2.803e-05, 3.684e-05, 3.6989e-05, 3.6144e-05, 0.00066028, 5.4043e-05, 0.000239519
1000, 2000, 2.7355e-05, 3.7132e-05, 3.6287e-05, 3.5899e-05, 0.000674129, 5.388e-05, 0.000240737
1000, 2000, 2.7382e-05, 3.6839e-05, 3.7115e-05, 3.6072e-05, 0.000657177, 5.4081e-05, 0.000285136
1000, 2000, 2.7795e-05, 3.6506e-05, 3.6964e-05, 3.6841e-05, 0.000665774, 5.4031e-05, 0.000238093
1000, 2000, 2.7461e-05, 3.6756e-05, 3.7022e-05, 3.5939e-05, 0.000658597, 5.3023e-05, 0.000350794
1000, 2000, 2.8855e-05, 3.744e-05, 3.662e-05, 3.6415e-05, 0.000670666, 5.3796e-05, 0.000239929
1000, 2000, 2.7474e-05, 3.6827e-05, 3.6129e-05, 3.6399e-05, 0.000732478, 5.4012e-05, 0.000247635
1000, 2000, 3.2945e-05, 3.7455e-05, 3.6547e-05, 3.6827e-05, 0.000682528, 5.3654e-05, 0.000240413
1000, 2000, 2.7727e-05, 3.624e-05, 3.6674e-05, 4.4338e-05, 0.000689244, 5.3094e-05, 0.000246459
1000, 2000, 2.7847e-05, 3.6688e-05, 3.7765e-05, 3.6338e-05, 0.000675096, 5.3142e-05, 0.000242581
1000, 2000, 2.9359e-05, 3.6589e-05, 3.6447e-05, 3.6282e-05, 0.000667748, 5.3425e-05, 0.000238976
1000, 2000, 2.8341e-05, 3.5824e-05, 3.603e-05, 3.5843e-05, 0.00067121, 5.3063e-05, 0.000244652
1000, 2000, 2.8339e-05, 3.6128e-05, 3.6156e-05, 3.5715e-05, 0.000672575, 5.2922e-05, 0.000260094
1000, 2000, 2.8463e-05, 3.6756e-05, 3.6486e-05, 3.5976e-05, 0.000783842, 5.3574e-05, 0.000239968
1000, 2000, 2.8239e-05, 3.9975e-05, 3.6236e-05, 3.5929e-05, 0.000667693, 5.3342e-05, 0.000242761
1000, 2000, 2.8e-05, 3.7386e-05, 3.6427e-05, 3.5988e-05, 0.000784765, 5.2364e-05, 0.0002402
1000, 2000, 2.72e-05, 3.616e-05, 3.6053e-05, 3.615e-05, 0.000660829, 5.3115e-05, 0.000240406
1000, 2000, 2.7537e-05, 3.6288e-05, 3.5848e-05, 3.5933e-05, 0.000671699, 5.2199e-05, 0.000242482
1000, 2000, 2.7822e-05, 4.4691e-05, 3.6922e-05, 3.6869e-05, 0.000670618, 5.3212e-05, 0.000242941
1000, 2000, 2.8518e-05, 3.7126e-05, 3.6582e-05, 3.5781e-05, 0.000670501, 5.3193e-05, 0.000238607
1000, 2000, 2.8841e-05, 7.7753e-05, 3.6314e-05, 3.498e-05, 0.000664211, 5.3277e-05, 0.000239405
1000, 2000, 2.7506e-05, 3.6588e-05, 3.6984e-05, 3.5984e-05, 0.000672369, 5.2892e-05, 0.000268428
1000, 2000, 2.8239e-05, 3.733e-05, 3.6201e-05, 3.6111e-05, 0.000765577, 5.3602e-05, 0.000240186
1000, 2000, 2.8242e-05, 3.7168e-05, 3.6786e-05, 4.0656e-05, 0.00067295, 5.288e-05, 0.000255603
1000, 2000, 2.7787e-05, 3.6313e-05, 3.5876e-05, 3.5456e-05, 0.000688197, 5.2405e-05, 0.000236374
1000, 2000, 2.7524e-05, 3.6995e-05, 3.5686e-05, 3.5588e-05, 0.000660817, 5.3274e-05, 0.000235336
1000, 2000, 2.7872e-05, 3.6182e-05, 3.5386e-05, 3.5437e-05, 0.000691066, 5.3131e-05, 0.000240967
1000, 2000, 2.8574e-05, 4.5729e-05, 3.8165e-05, 3.6122e-05, 0.000673488, 5.9289e-05, 0.000240222
1000, 2000, 2.7241e-05, 3.6328e-05, 3.6723e-05, 3.5808e-05, 0.000684832, 5.3561e-05, 0.000239452
1000, 2000, 2.7551e-05, 3.5733e-05, 3.6068e-05, 3.5514e-05, 0.00070585, 5.3959e-05, 0.000240995
1000, 2000, 2.8944e-05, 3.6114e-05, 3.6618e-05, 3.5814e-05, 0.000666233, 5.3051e-05, 0.000240933
1000, 2000, 2.8606e-05, 3.6615e-05, 3.5967e-05, 3.5687e-05, 0.000783344, 5.7373e-05, 0.000263562
1000, 2000, 2.7333e-05, 3.5678e-05, 3.5833e-05, 3.5952e-05, 0.000680752, 5.4079e-05, 0.000278737
1000, 2000, 3.0729e-05, 3.7702e-05, 3.6971e-05, 3.685e-05, 0.000805347, 0.00029955, 0.00134668
1000, 2000, 0.000421941, 3.7561e-05, 3.7547e-05, 3.5639e-05, 0.000669677, 5.3093e-05, 0.000234642
1000, 2000, 2.8306e-05, 3.6644e-05, 3.7231e-05, 3.6108e-05, 0.000668059, 5.3235e-05, 0.000237606
1000, 2000, 2.897e-05, 3.6483e-05, 3.5944e-05, 3.618e-05, 0.000660434, 5.7147e-05, 0.000234867
1000, 2000, 2.7924e-05, 3.5203e-05, 3.5757e-05, 3.6654e-05, 0.000661548, 5.2727e-05, 0.000234369
1000, 2000, 2.7778e-05, 3.5363e-05, 3.5875e-05, 3.5554e-05, 0.000688886, 5.3223e-05, 0.000246642
1000, 2000, 2.7673e-05, 3.6883e-05, 3.6516e-05, 3.5951e-05, 0.000661173, 5.3495e-05, 0.000241895
1000, 2000, 2.8385e-05, 3.6508e-05, 3.6846e-05, 3.5877e-05, 0.000704864, 5.3331e-05, 0.00023886
1000, 2000, 2.8134e-05, 3.6255e-05, 3.6491e-05, 3.5951e-05, 0.000663794, 5.3187e-05, 0.000249957
1000, 2000, 2.7873e-05, 3.6749e-05, 3.6119e-05, 3.6007e-05, 0.000666264, 5.8227e-05, 0.000239735
1000, 2000, 2.7572e-05, 3.5644e-05, 3.6182e-05, 3.603e-05, 0.000672395, 5.3326e-05, 0.000240655
1000, 2000, 2.9645e-05, 4.0375e-05, 3.6519e-05, 3.6174e-05, 0.000650684, 5.3412e-05, 0.000264965
1000, 2000, 2.7505e-05, 3.6856e-05, 3.5587e-05, 3.5471e-05, 0.000670625, 6.9229e-05, 0.000238264
1000, 2000, 2.7192e-05, 3.6695e-05, 3.5822e-05, 3.5135e-05, 0.000668526, 5.372e-05, 0.000263993
1000, 2000, 2.8146e-05, 3.6981e-05, 3.6235e-05, 3.5715e-05, 0.000671092, 5.3867e-05, 0.000234132
1000, 2000, 2.7659e-05, 3.589e-05, 3.6135e-05, 3.5932e-05, 0.00067736, 5.3486e-05, 0.000272823
1000, 2000, 2.8013e-05, 3.6816e-05, 3.6315e-05, 3.6148e-05, 0.000668476, 5.2548e-05, 0.000234472
1000, 2000, 2.6704e-05, 3.5323e-05, 3.5786e-05, 4.0204e-05, 0.000661393, 5.2376e-05, 0.000235419
1000, 2000, 2.7686e-05, 5.1803e-05, 3.5663e-05, 3.5388e-05, 0.000665162, 5.2641e-05, 0.000232519
1000, 2000, 2.7965e-05, 3.6665e-05, 3.556e-05, 3.5416e-05, 0.000663255, 5.2089e-05, 0.000270921
1000, 2000, 2.7483e-05, 3.5959e-05, 3.6116e-05, 3.5676e-05, 0.000647684, 8.0136e-05, 0.000265079
1000, 2000, 2.7386e-05, 3.5287e-05, 3.5213e-05, 3.5619e-05, 0.000656582, 5.2669e-05, 0.000233663
1000, 2000, 2.7105e-05, 3.516e-05, 3.4765e-05, 3.4934e-05, 0.000661194, 5.276e-05, 0.0002417
1000, 2000, 3.5933e-05, 3.5305e-05, 3.5343e-05, 3.5291e-05, 0.000682804, 5.2483e-05, 0.000239433
1000, 2000, 2.72e-05, 3.5718e-05, 3.5333e-05, 3.5569e-05, 0.000651949, 5.1555e-05, 0.000239245
1000, 2000, 2.9197e-05, 3.6432e-05, 3.5364e-05, 3.5603e-05, 0.000655666, 5.2039e-05, 0.00023818
1000, 3000, 5.0071e-05, 5.5014e-05, 5.5918e-05, 5.4518e-05, 0.000983262, 7.9177e-05, 0.000371713
1000, 3000, 4.1219e-05, 5.3935e-05, 5.3337e-05, 5.3609e-05, 0.000948358, 7.8009e-05, 0.000366607
1000, 3000, 4.0223e-05, 5.3262e-05, 5.2665e-05, 5.2794e-05, 0.000953521, 7.8344e-05, 0.000368595
1000, 3000, 4.0666e-05, 5.3692e-05, 5.3386e-05, 5.2657e-05, 0.000952698, 7.8087e-05, 0.000388638
1000, 3000, 4.3044e-05, 5.513e-05, 5.3155e-05, 5.2532e-05, 0.000954063, 7.8912e-05, 0.000372166
1000, 3000, 4.066e-05, 5.4449e-05, 5.2242e-05, 5.3583e-05, 0.000949393, 7.9435e-05, 0.000422787
1000, 3000, 4.082e-05, 5.6099e-05, 5.2873e-05, 5.3003e-05, 0.000946774, 7.8392e-05, 0.000370623
1000, 3000, 4.2676e-05, 5.3973e-05, 5.307e-05, 5.1767e-05, 0.000938822, 7.913e-05, 0.000370711
1000, 3000, 4.137e-05, 5.5369e-05, 5.4134e-05, 5.3336e-05, 0.000960715, 7.8003e-05, 0.000422904
1000, 3000, 4.0148e-05, 5.3958e-05, 5.3833e-05, 5.2722e-05, 0.000944682, 7.7714e-05, 0.000388928
1000, 3000, 4.276e-05, 5.4531e-05, 5.5055e-05, 5.2736e-05, 0.000973589, 7.833e-05, 0.000370743
1000, 3000, 4.1099e-05, 5.4737e-05, 5.3575e-05, 5.1813e-05, 0.000965092, 7.8485e-05, 0.000373563
1000, 3000, 4.0574e-05, 5.4673e-05, 5.266e-05, 5.3871e-05, 0.000970922, 7.9191e-05, 0.000365034
1000, 3000, 4.216e-05, 5.4095e-05, 5.4283e-05, 5.3092e-05, 0.000968558, 7.8698e-05, 0.000369335
1000, 3000, 4.116e-05, 5.1283e-05, 5.2724e-05, 5.3304e-05, 0.000955962, 7.7952e-05, 0.000387467
1000, 3000, 4.1156e-05, 5.4291e-05, 5.3499e-05, 5.2944e-05, 0.000950586, 7.9488e-05, 0.000368483
1000, 3000, 4.0041e-05, 5.4478e-05, 5.3015e-05, 5.9306e-05, 0.000944747, 7.9827e-05, 0.000372188
1000, 3000, 4.2265e-05, 5.4107e-05, 5.3722e-05, 5.3603e-05, 0.000959344, 7.7739e-05, 0.000422558
1000, 3000, 4.034e-05, 5.3422e-05, 5.3043e-05, 5.3144e-05, 0.000944455, 7.885e-05, 0.000370507
1000, 3000, 4.1391e-05, 5.3912e-05, 5.1896e-05, 5.254e-05, 0.000936948, 0.000140397, 0.000417077
1000, 3000, 4.4869e-05, 5.4693e-05, 5.2072e-05, 5.3183e-05, 0.00096361, 7.9556e-05, 0.000376429
1000, 3000, 4.235e-05, 5.4059e-05, 5.5216e-05, 5.3586e-05, 0.000956974, 7.7686e-05, 0.000369903
1000, 3000, 4.0412e-05, 5.1672e-05, 5.3725e-05, 5.2368e-05, 0.000972524, 7.8356e-05, 0.000378721
1000, 3000, 4.1859e-05, 5.6713e-05, 6.0197e-05, 5.3859e-05, 0.000981196, 7.8367e-05, 0.000376962
1000, 3000, 4.0489e-05, 5.5548e-05, 5.4503e-05, 5.3414e-05, 0.000972226, 7.7974e-05, 0.000383531
1000, 3000, 4.0429e-05, 5.4119e-05, 5.3426e-05, 5.2704e-05, 0.000955106, 7.7092e-05, 0.000377019
1000, 3000, 3.9704e-05, 5.163e-05, 5.4635e-05, 5.8404e-05, 0.00101373, 7.9292e-05, 0.000382649
1000, 3000, 4.2676e-05, 5.3843e-05, 5.4458e-05, 5.3953e-05, 0.000945276, 7.8422e-05, 0.000373498
1000, 3000, 4.0919e-05, 5.518e-05, 5.3273e-05, 5.2913e-05, 0.000958891, 7.8563e-05, 0.00036901
1000, 3000, 4.2286e-05, 5.4594e-05, 5.4881e-05, 5.3181e-05, 0.000959913, 7.9523e-05, 0.000413431
1000, 3000, 4.145e-05, 5.4948e-05, 5.2945e-05, 5.1951e-05, 0.000948365, 7.7799e-05, 0.000369225
1000, 3000, 4.0675e-05, 5.2173e-05, 5.2574e-05, 5.2091e-05, 0.000925991, 7.8145e-05, 0.000374549
1000, 3000, 4.0559e-05, 5.3516e-05, 5.2356e-05, 5.2288e-05, 0.000935682, 7.6936e-05, 0.000374362
1000, 3000, 4.2083e-05, 5.1898e-05, 5.1896e-05, 5.2635e-05, 0.000959981, 7.8572e-05, 0.000370143
1000, 3000, 4.0515e-05, 5.2955e-05, 5.3695e-05, 5.3348e-05, 0.000959457, 7.8067e-05, 0.000379324
1000, 3000, 3.9857e-05, 5.4233e-05, 5.3845e-05, 5.258e-05, 0.000960378, 7.7911e-05, 0.000449768
1000, 3000, 5.0854e-05, 5.4506e-05, 5.3966e-05, 5.3952e-05, 0.000946033, 7.8841e-05, 0.000370465
1000, 3000, 4.1145e-05, 5.5813e-05, 5.1784e-05, 5.1701e-05, 0.000948395, 7.7465e-05, 0.000383734
1000, 3000, 3.9273e-05, 5.2759e-05, 5.4467e-05, 5.3271e-05, 0.00094415, 7.8397e-05, 0.000370313
1000, 3000, 4.0972e-05, 5.2815e-05, 5.3852e-05, 5.2599e-05, 0.000958357, 7.866e-05, 0.000419303
1000, 3000, 4.095e-05, 5.4132e-05, 5.1515e-05, 5.3051e-05, 0.000949765, 7.7891e-05, 0.000371175
1000, 3000, 4.07e-05, 5.2543e-05, 5.1363e-05, 5.2813e-05, 0.000954116, 7.7994e-05, 0.000371871
1000, 3000, 4.0697e-05, 5.4466e-05, 5.2845e-05, 5.2016e-05, 0.000953087, 7.8427e-05, 0.000424669
1000, 3000, 4.0383e-05, 5.338e-05, 5.415e-05, 5.3148e-05, 0.000955086, 7.7394e-05, 0.000363173
1000, 3000, 5.9344e-05, 6.1459e-05, 5.3008e-05, 5.2981e-05, 0.000961917, 7.7686e-05, 0.000425964
1000, 3000, 4.3716e-05, 5.6566e-05, 5.2777e-05, 5.317e-05, 0.000958643, 9.0588e-05, 0.00038689
1000, 3000, 4.0663e-05, 5.5127e-05, 5.4009e-05, 5.3436e-05, 0.000965862, 7.754e-05, 0.000374266
1000, 3000, 4.1686e-05, 5.3891e-05, 5.5071e-05, 5.3595e-05, 0.000963622, 7.7781e-05, 0.000367917
1000, 3000, 4.0643e-05, 5.3362e-05, 5.164e-05, 5.2883e-05, 0.000952298, 7.8927e-05, 0.000416644
1000, 3000, 4.2016e-05, 5.3768e-05, 9.6597e-05, 5.5113e-05, 0.000956979, 7.8787e-05, 0.00036779
1000, 3000, 4.0245e-05, 5.6299e-05, 5.3833e-05, 5.2418e-05, 0.000953098, 7.8243e-05, 0.00036937
1000, 3000, 4.0782e-05, 5.6101e-05, 5.3413e-05, 5.2254e-05, 0.000970863, 7.9234e-05, 0.000369959
1000, 3000, 4.0738e-05, 5.4236e-05, 5.3218e-05, 5.2998e-05, 0.000950369, 8.0333e-05, 0.000428843
1000, 3000, 4.0639e-05, 5.3415e-05, 5.4261e-05, 5.335e-05, 0.00095018, 7.9113e-05, 0.000367383
1000, 3000, 4.1363e-05, 5.4845e-05, 5.4352e-05, 5.3332e-05, 0.000964948, 7.9007e-05, 0.000367273
1000, 3000, 3.9949e-05, 5.4108e-05, 5.3897e-05, 5.3514e-05, 0.000955409, 7.8264e-05, 0.000370005
1000, 3000, 4.0507e-05, 5.9382e-05, 5.4734e-05, 5.4249e-05, 0.000946669, 7.849e-05, 0.000369336
1000, 3000, 4.1725e-05, 5.4229e-05, 5.332e-05, 5.1446e-05, 0.000935529, 7.7946e-05, 0.00037334
1000, 3000, 3.9765e-05, 5.3112e-05, 5.247e-05, 5.285e-05, 0.000955784, 7.851e-05, 0.000381717
1000, 3000, 4.3353e-05, 5.5685e-05, 5.372e-05, 5.4218e-05, 0.000950702, 7.8364e-05, 0.000369912
1000, 3000, 4.1733e-05, 5.2796e-05, 5.4084e-05, 5.2617e-05, 0.000984187, 0.000100117, 0.000368504
1000, 3000, 4.2052e-05, 5.6038e-05, 5.3207e-05, 5.3276e-05, 0.000968677, 7.8966e-05, 0.000367382
1000, 3000, 3.9946e-05, 5.6087e-05, 5.3468e-05, 5.3338e-05, 0.00095809, 7.884e-05, 0.000369462
1000, 3000, 3.9931e-05, 5.3028e-05, 5.2204e-05, 5.2839e-05, 0.000946836, 7.9157e-05, 0.000365367
1000, 3000, 4.0822e-05, 5.4135e-05, 5.161e-05, 5.3427e-05, 0.000948305, 7.7812e-05, 0.000367566
1000, 3000, 4.0836e-05, 5.4513e-05, 5.2986e-05, 5.3046e-05, 0.000948841, 7.832e-05, 0.000368211
1000, 3000, 4.0699e-05, 5.3564e-05, 5.3276e-05, 5.3093e-05, 0.000956367, 7.7706e-05, 0.000374191
1000, 3000, 3.999e-05, 5.1361e-05, 5.3583e-05, 5.2892e-05, 0.000953546, 7.7976e-05, 0.000369703
1000, 3000, 4.0795e-05, 5.3861e-05, 5.3461e-05, 5.1737e-05, 0.000960483, 8.1774e-05, 0.000421201
1000, 3000, 4.239e-05, 5.5181e-05, 5.3803e-05, 5.3715e-05, 0.00110673, 7.805e-05, 0.000411447
1000, 3000, 4.0148e-05, 5.4208e-05, 5.1863e-05, 5.2906e-05, 0.000979976, 7.8599e-05, 0.000373384
1000, 3000, 4.156e-05, 5.3704e-05, 5.5726e-05, 5.4156e-05, 0.000966221, 7.9095e-05, 0.000370344
1000, 3000, 4.203e-05, 5.4981e-05, 5.4761e-05, 5.3636e-05, 0.000981556, 8.0133e-05, 0.000385788
1000, 3000, 4.0741e-05, 5.416e-05, 5.3273e-05, 5.3275e-05, 0.000952807, 7.7562e-05, 0.000371035
1000, 3000, 4.1288e-05, 5.48e-05, 5.3663e-05, 5.4792e-05, 0.000948754, 7.9687e-05, 0.000368878
1000, 3000, 4.0803e-05, 5.3157e-05, 5.3058e-05, 5.2006e-05, 0.000946716, 7.7663e-05, 0.000379403
1000, 3000, 4.0411e-05, 5.4224e-05, 5.3436e-05, 5.2358e-05, 0.00095757, 7.8601e-05, 0.000379989
1000, 3000, 4.0814e-05, 5.3908e-05, 5.2519e-05, 5.3595e-05, 0.000952931, 7.8374e-05, 0.000421466
1000, 3000, 4.0724e-05, 5.5643e-05, 5.3194e-05, 5.2146e-05, 0.000984506, 7.914e-05, 0.000390733
1000, 3000, 4.1872e-05, 5.5464e-05, 5.8822e-05, 5.1833e-05, 0.000954091, 7.8415e-05, 0.000368922
1000, 3000, 4.1561e-05, 5.5e-05, 5.4415e-05, 5.3572e-05, 0.0009475, 7.9678e-05, 0.000371038
1000, 3000, 3.9822e-05, 5.4225e-05, 5.3932e-05, 5.3163e-05, 0.000959062, 7.878e-05, 0.000376437
1000, 3000, 4.1415e-05, 5.5076e-05, 5.3628e-05, 5.4802e-05, 0.000977217, 8.0924e-05, 0.000375276
1000, 3000, 4.1785e-05, 5.5201e-05, 5.5077e-05, 5.4454e-05, 0.000972875, 8.0498e-05, 0.000375052
1000, 3000, 4.232e-05, 5.5384e-05, 5.5455e-05, 5.4238e-05, 0.000958707, 7.9353e-05, 0.000409877
1000, 3000, 4.2432e-05, 5.3099e-05, 5.5315e-05, 5.2643e-05, 0.000969173, 8.0714e-05, 0.000374615
1000, 3000, 4.5686e-05, 5.6254e-05, 5.4828e-05, 5.4218e-05, 0.000974864, 8.0048e-05, 0.000373998
1000, 3000, 4.1133e-05, 5.3537e-05, 5.3949e-05, 5.3321e-05, 0.00100326, 7.9351e-05, 0.000407916
1000, 3000, 4.1691e-05, 7.7194e-05, 5.5383e-05, 5.4853e-05, 0.000969087, 7.9145e-05, 0.000374388
1000, 3000, 4.0892e-05, 5.4829e-05, 5.4457e-05, 5.4388e-05, 0.000970367, 7.8878e-05, 0.00037692
1000, 3000, 4.1611e-05, 5.3799e-05, 5.3964e-05, 5.442e-05, 0.000979984, 7.9416e-05, 0.000407912
1000, 3000, 4.2697e-05, 5.6764e-05, 5.6939e-05, 5.1746e-05, 0.000949085, 7.804e-05, 0.000369012
1000, 3000, 4.0884e-05, 5.2722e-05, 5.3679e-05, 5.2625e-05, 0.000967318, 7.8778e-05, 0.000376336
1000, 3000, 4.0992e-05, 5.4046e-05, 5.4189e-05, 5.2746e-05, 0.000936745, 7.7972e-05, 0.000378457
1000, 3000, 4.1084e-05, 5.3343e-05, 5.4062e-05, 5.2698e-05, 0.000957245, 7.9425e-05, 0.000372295
1000, 3000, 4.0639e-05, 5.3643e-05, 5.2907e-05, 5.302e-05, 0.000949824, 7.7425e-05, 0.000374791
1000, 3000, 4.7026e-05, 5.7919e-05, 5.5563e-05, 5.3821e-05, 0.00100163, 0.000173382, 0.000623344
1000, 3000, 4.145e-05, 5.5528e-05, 6.5043e-05, 5.3979e-05, 0.00098037, 8.1345e-05, 0.000380549
1000, 3000, 4.2572e-05, 5.4833e-05, 5.5364e-05, 5.4049e-05, 0.000971787, 7.9564e-05, 0.000380176
1000, 3000, 4.2591e-05, 5.4231e-05, 5.4937e-05, 5.4105e-05, 0.000968219, 7.9018e-05, 0.000406963
1000, 4000, 6.0139e-05, 7.3925e-05, 7.3992e-05, 7.4319e-05, 0.00125492, 0.000107242, 0.000525718
1000, 4000, 5.9768e-05, 7.4847e-05, 7.4411e-05, 7.1264e-05, 0.00125169, 0.00010612, 0.000570194
1000, 4000, 5.7622e-05, 7.5417e-05, 7.5875e-05, 7.5978e-05, 0.00124657, 0.000104349, 0.00051744
1000, 4000, 5.4535e-05, 6.9992e-05, 7.0367e-05, 7.0144e-05, 0.00123335, 0.000103432, 0.000512879
1000, 4000, 5.4808e-05, 7.3723e-05, 6.9235e-05, 7.1037e-05, 0.00126359, 0.000104276, 0.000519422
1000, 4000, 5.463e-05, 7.1391e-05, 7.1589e-05, 7.0287e-05, 0.00127354, 0.000103637, 0.000504351
1000, 4000, 5.3181e-05, 7.406e-05, 7.0934e-05, 7.014e-05, 0.00129411, 0.000103404, 0.000522477
1000, 4000, 5.7584e-05, 7.3078e-05, 7.1767e-05, 7.67e-05, 0.00125917, 0.000104895, 0.000521701
1000, 4000, 5.5405e-05, 7.5532e-05, 7.1153e-05, 7.166e-05, 0.00125588, 0.000103345, 0.000525063
1000, 4000, 5.9204e-05, 7.4217e-05, 7.3034e-05, 7.1744e-05, 0.00129473, 0.000105546, 0.000514402
1000, 4000, 5.3963e-05, 7.2747e-05, 7.1464e-05, 7.0841e-05, 0.00126116, 0.000103991, 0.000509438
1000, 4000, 5.335e-05, 7.116e-05, 6.8372e-05, 7.1099e-05, 0.00130569, 0.000103239, 0.000531323
1000, 4000, 5.4648e-05, 7.1526e-05, 6.8882e-05, 7.0834e-05, 0.00124343, 0.000105673, 0.000502668
